P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,price
0.002509,0.00555,0.464722,0.451556,0.036613,0.020244,0.661878,0.774059,130600
0.000211,0.004328,0.434859,0.602168,0.00335,0.170732,0.716393,0.142857,40500
0.000685,0.002594,0.432411,0.587084,0,0.117647,0.618585,0.6875,28700
0.000058,0,0.44845,0.713542,0,0.1,0.661983,1,28500
0.000042,0,0.43556,0.681981,0.672269,0,0.616162,0,24100
0.000058,0,0.382334,0.729456,0.054878,0.25,0.50531,0.5,14999
0.000092,0,0.436302,0.640007,0,0,0.659218,0,33200
0.011389,0.026589,0.498401,0.497386,0.263982,0.069681,0.671142,0.24878,66300
0.000428,0.006066,0.482577,0.575802,0.004136,0.047138,0.673131,0.571429,138000
0.000448,0.023904,0.472086,0.851214,0.009501,0.114286,0.65511,0,140600
0.000348,0.136827,0.513017,0.571203,0.032553,0.113636,0.78427,0.4,127000
0.00147,0.00677,0.427887,0.52429,0.029192,0.138756,0.656524,0.206897,46900
0.000023,0.005979,0.401383,0.610455,0,0.153846,0.507843,0,14999
0.000326,0.004205,0.443197,0.638687,0.348534,0.213115,0.594572,0.384615,35300
0.000121,0.006093,0.502496,0.584087,0.005848,0.084,0.585897,0.285714,65800
0.000023,0,0.354827,0.879541,0,0,0.5,0,14999
0.000089,0.001002,0.311493,0.824628,0.003953,0,0.404762,0,14999
0.000179,0,0.347234,0.741589,0,0.038095,0.469231,0.25,18000
0.000052,0,0.437671,0.698169,0.013605,0.071429,0.610084,1,44200
0.000478,0.000709,0.435562,0.557586,0.021513,0.228571,0.604452,0.625,30000
0.004696,0.050678,0.484479,0.557223,0.093943,0.198006,0.567925,0.251799,175500
0.000138,0.001056,0.460187,0.724915,0,0.346154,0.628086,0.555556,33700
0.00002,0,0.495159,0.656585,0,0.142857,0.568,1,14999
0.002049,0.055821,0.535698,0.445628,0.070774,0.24159,0.677923,0.759494,144300
0.000887,0.002946,0.463181,0.502097,0.001598,0.06422,0.59846,0.428571,47700
0.000113,0,0.409127,0.600351,0,0.476191,0.614672,0.8,17000
0.000044,0,0.397488,0.557992,0,0.307692,0.537079,0.75,14999
0.000336,0.017752,0.434649,0.680302,0.023231,0.040462,0.523013,0.285714,46700
0.000289,0.003099,0.424666,0.473852,0.01348,0.153846,0.646479,0.5,34900
0.000015,0,0.5371,0.614439,0,0.042553,0.505128,0.5,28800
0.00005,0,0.490772,0.503742,0.014084,0.285714,0.619588,0.5,37900
0.000192,0,0.429701,0.699037,0,0.287671,0.539675,0.476191,23400
0.000239,0.004154,0.445492,0.545001,0.35905,0.160494,0.582185,0.384615,25300
0.000434,0.000379,0.43928,0.576736,0.000817,0.135417,0.614007,0.692308,31300
0.000339,0.000935,0.431823,0.576838,0,0.059701,0.671495,0.5,29600
0.000389,0.002001,0.367908,0.570153,0.010009,0.119497,0.564871,0.789474,17800
0.000299,0.00516,0.42427,0.51702,0.011862,0.088889,0.702767,0.75,47500
0.003959,0.03237,0.461994,0.398594,0.012003,0.173242,0.630799,0.623762,108400
