MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
0.072825,0.006012,0.092843,1,0.307692,0.727273,198
0.008092,0.248497,0.499499,0.125,0.153846,0.181818,269
0.008092,0.248497,0.499499,0.125,0.153846,0.181818,220
0.008092,0.248497,0.499499,0.125,0.153846,0.181818,172
0.008092,0.248497,0.249249,0.125,0.153846,0.090909,132
0.006069,0.248497,0.499499,0.25,0.153846,0.181818,318
0.004046,0.498998,0.499499,0.25,0.307692,0.181818,367
0.004046,0.498998,0.499499,0.25,0.307692,0.181818,489
0.004046,0.498998,1,0.25,0.307692,0.181818,636
0.004046,1,1,0.5,0.615385,0.363636,1144
0.25826,0.029309,0.045921,0,0.019231,0.011364,38
0.25826,0.014028,0.053741,0.015625,0.019231,0.034091,40
0.028995,0.060621,0.124124,0.253906,0.019231,0.045455,92
0.022252,0.123246,0.249249,0.253906,0.019231,0.045455,138
0.224545,0,0,0,0.019231,0.022727,10
0.123399,0.014028,0.249249,0,0.076923,0.181818,35
0.101146,0.014404,0.03028,0.03125,0.076923,0.085227,19
0.084963,0.014028,0.077202,0,0.134615,0.181818,28
0.084963,0.029309,0.03028,0,0.096154,0.090909,31
0.062711,0.154559,0.077202,0.554688,0.153846,0.363636,120
0.084963,0.044965,0.097535,0,0.096154,0.181818,30
0.084963,0.095065,0.095971,0,0.096154,0.113636,33
0.084963,0.070015,0.095971,0,0.115385,0.363636,61
0.062711,0.095065,0.095971,0,0.115385,0.363636,76
0.204316,0.002004,0.092843,0,0.019231,0.068182,23
0.204316,0.014028,0.03028,0.015625,0.019231,0.017045,69
0.204316,0.006012,0.092843,0,0.019231,0.034091,33
0.204316,0.006012,0.045921,0.015625,0.019231,0.017045,27
0.204316,0.014028,0.077202,0.015625,0.019231,0.028409,77
0.204316,0.006012,0.077202,0.015625,0.019231,0.034091,27
0.005394,0.039016,0.039977,0.511719,0.230769,0.136364,274
0.005394,0.039016,0.039977,0.511719,0.230769,0.136364,368
0.022252,0.080035,0.162913,0.117188,0.230769,0.136364,32
0.022252,0.080035,0.162913,0.117188,0.230769,0.136364,63
0.026298,0.162074,0.326983,0.117188,0.230769,0.136364,106
0.031693,0.162074,0.326983,0.117188,0.230769,0.136364,208
0.022252,0.013652,0.03028,0.03125,0.019231,0.022727,20
0.022252,0.029309,0.061562,0.03125,0.019231,0.028409,29
0.022252,0.060621,0.124124,0.03125,0.019231,0.028409,71
0.022252,0.029309,0.061562,0.03125,0.057692,0.028409,26
0.022252,0.029309,0.124124,0.03125,0.057692,0.028409,36
0.022252,0.060621,0.249249,0.03125,0.057692,0.028409,40
0.022252,0.060621,0.249249,0.03125,0.057692,0.034091,52
0.022252,0.060621,0.249249,0.03125,0.057692,0.034091,60
0.07822,0.029309,0.186687,0.035156,0.057692,0.068182,72
0.07822,0.029309,0.124124,0.035156,0.057692,0.068182,72
0.534727,0.014028,0.007007,0.03125,0.019231,0.005682,18
0.534727,0.029309,0.077202,0,0.019231,0.005682,20
0.204316,0.014028,0.124124,0.015625,0.019231,0.028409,40
0.123399,0.014028,0.124124,0.03125,0.019231,0.045455,62
0.460553,0.01002,0.124124,0,0.019231,0.005682,24
0.460553,0.006012,0.03028,0,0.019231,0.005682,24
0.08294,0.029309,0.249249,0.0625,0.019231,0.017045,138
0.123399,0.029309,0.124124,0,0.019231,0.011364,36
0.062711,0.029309,0.061562,0.0625,0.019231,0.011364,26
0.062711,0.029309,0.186687,0.0625,0.019231,0.011364,60
0.136885,0.029309,0.124124,0.0625,0.019231,0.011364,71
0.527984,0.006012,0.124124,0,0.019231,0.022727,12
0.527984,0.006012,0.124124,0,0.019231,0.022727,14
0.527984,0.006012,0.124124,0,0.019231,0.022727,20
0.527984,0.006012,0.124124,0,0.019231,0.022727,16
0.527984,0.006012,0.124124,0,0.019231,0.022727,22
0.072825,0.014028,0.01464,0,0.153846,0.113636,36
0.03911,0.060621,0.124124,0.25,0.019231,0.215909,144
0.03911,0.060621,0.249249,0.25,0.019231,0.215909,144
0.03911,0.060621,0.249249,0.5,0.019231,0.215909,259
0.049225,0.006012,0.01464,0,0.057692,0.056818,17
0.059339,0.006012,0.03028,0,0.057692,0.056818,26
0.059339,0.029309,0.061562,0,0.057692,0.136364,32
0.059339,0.060621,0.061562,0.03125,0.057692,0.107955,32
0.03911,0.060621,0.124124,0.03125,0.057692,0.136364,62
0.03911,0.091934,0.124124,0.03125,0.057692,0.272727,64
0.106541,0.006012,0.03028,0,0.057692,0.136364,22
0.190829,0.022044,0.045921,0,0.115385,0.136364,36
0.190829,0.022044,0.045921,0.023438,0.115385,0.136364,44
0.190829,0.022044,0.186687,0.023438,0.115385,0.136364,50
